Ramp Rate (PSI/s),Elapsed Time (s),Transducer Voltage (V),Transducer Pressure (PSI),Alicat Pressure (PSIA),Alicat Gauge (PSIG),Alicat Barometric (PSIA),Alicat Setpoint (PSIA),Offset Gauge (Transducer - AlicatGauge),Offset Absolute (Transducer - AlicatAbs)
2.0,0.25153398513793945,3.727526903152466,11.182580709457397,12.99,-0.47000000000000064,13.46,14.04,11.652580709457398,-1.8074192905426028
2.0,0.5108139514923096,3.7298574447631836,11.185377359390259,13.0,-0.46000000000000085,13.46,14.56,11.64537735939026,-1.8146226406097412
2.0,0.762836217880249,3.729806661605835,11.186994409561159,13.01,-0.45000000000000107,13.46,15.07,11.63699440956116,-1.8230055904388411
2.0,1.0200834274291992,3.7288007736206055,11.186757574081422,13.02,-0.4400000000000013,13.46,15.58,11.626757574081424,-1.8332424259185771
2.0,1.2771551609039307,3.6883015632629395,11.13801642036438,13.03,-0.4300000000000015,13.46,16.09,11.568016420364382,-1.8919835796356193
2.0,1.5313668251037598,3.727315902709961,11.15558893547058,13.04,-0.4200000000000017,13.46,16.6,11.575588935470583,-1.8844110645294183
2.0,1.786020040512085,3.6848416328430176,11.11516332069397,13.05,-0.41000000000000014,13.46,17.11,11.52516332069397,-1.9348366793060308
2.0,2.0433526039123535,3.729827642440796,11.144891163345337,13.06,-0.40000000000000036,13.46,17.63,11.544891163345337,-1.9151088366546638
2.0,2.2998428344726562,3.7287895679473877,11.161482179544068,13.07,-0.39000000000000057,13.46,18.14,11.551482179544069,-1.9085178204559323
2.0,2.5560667514801025,3.7285046577453613,11.171094897020875,13.08,-0.3800000000000008,13.46,18.65,11.551094897020876,-1.9089051029791246
2.0,2.812192916870117,3.6856143474578857,11.125394155161988,13.09,-0.370000000000001,13.46,19.16,11.49539415516199,-1.9646058448380117
2.0,3.0718228816986084,3.6886026859283447,11.101559716211206,13.1,-0.3600000000000012,13.46,19.68,11.461559716211207,-1.9984402837887938
2.0,3.324211359024048,3.688166856765747,11.08673605784562,13.11,-0.3500000000000014,13.46,20.0,11.436736057845621,-2.0232639421543794
2.0,3.5761234760284424,3.7293624877929688,11.127276620058934,13.12,-0.34000000000000163,13.46,20.0,11.467276620058936,-1.992723379941065
2.0,3.8346168994903564,3.6942102909088135,11.109418321125936,13.13,-0.33000000000000007,13.46,20.0,11.439418321125936,-2.0205816788740645
2.0,4.0911266803741455,3.7206506729125977,11.13043180017068,13.14,-0.3200000000000003,13.46,20.0,11.45043180017068,-2.009568199829321
2.0,4.344990968704224,3.717071056365967,11.138744347741568,13.15,-0.3100000000000005,13.46,20.0,11.448744347741568,-2.0112556522584324
2.0,4.601063251495361,3.6899640560150146,11.111203475862958,13.15,-0.3100000000000005,13.46,20.0,11.421203475862958,-2.0387965241370427
2.0,4.854912281036377,3.728900671005249,11.141402890724073,13.16,-0.3000000000000007,13.46,20.0,11.441402890724074,-2.0185971092759267
2.0,5.1134138107299805,3.6872782707214355,11.109575659300166,13.17,-0.2900000000000009,13.46,20.0,11.399575659300167,-2.060424340699834
2.0,5.367241144180298,3.688995122909546,11.092539543071556,13.18,-0.28000000000000114,13.46,20.0,11.372539543071557,-2.0874604569284436
2.0,5.6250293254852295,3.68835711479187,11.081552263593178,13.19,-0.27000000000000135,13.46,20.0,11.35155226359318,-2.1084477364068217
2.0,5.878212213516235,3.6875128746032715,11.073946807679832,13.19,-0.27000000000000135,13.46,20.0,11.343946807679833,-2.1160531923201678
2.0,6.135125160217285,3.7285749912261963,11.118658074079335,13.2,-0.26000000000000156,13.46,20.0,11.378658074079336,-2.0813419259206647
2.0,6.3932061195373535,3.725337266921997,11.141599564753998,13.21,-0.25,13.46,20.0,11.391599564753998,-2.0684004352460033
2.0,6.645749807357788,3.6846959590911865,11.106594889761823,13.21,-0.25,13.46,20.0,11.356594889761823,-2.103405110238178
2.0,6.899616956710815,3.6866042613983154,11.087882047535071,13.22,-0.2400000000000002,13.46,20.0,11.327882047535072,-2.132117952464929
2.0,7.155300617218018,3.6884829998016357,11.078908828283005,13.22,-0.2400000000000002,13.46,20.0,11.318908828283005,-2.1410911717169956
2.0,7.412811756134033,3.6880829334259033,11.073044817080888,13.23,-0.23000000000000043,13.46,20.0,11.303044817080888,-2.1569551829191127
2.0,7.665724992752075,3.6896963119506836,11.071462464589352,13.24,-0.22000000000000064,13.46,20.0,11.291462464589353,-2.168537535410648
2.0,7.924278497695923,3.686108112335205,11.066207213555858,13.24,-0.22000000000000064,13.46,20.0,11.286207213555858,-2.1737927864441424
2.0,8.178448915481567,3.6879324913024902,11.065243317696503,13.25,-0.21000000000000085,13.46,20.0,11.275243317696503,-2.1847566823034974
2.0,8.436774015426636,3.6887495517730713,11.065645452745589,13.25,-0.21000000000000085,13.46,20.0,11.27564545274559,-2.1843545472544115
2.0,8.690218687057495,3.688518762588501,11.065609786753555,13.26,-0.20000000000000107,13.46,20.0,11.265609786753556,-2.194390213246445
2.0,8.946940898895264,3.688300371170044,11.065326317456186,13.26,-0.20000000000000107,13.46,20.0,11.265326317456188,-2.1946736825438133
2.0,9.20253324508667,3.6852293014526367,11.061470952216876,13.27,-0.19000000000000128,13.46,20.0,11.251470952216877,-2.2085290477831236
2.0,9.457595825195312,3.687680721282959,11.062099436869676,13.27,-0.19000000000000128,13.46,20.0,11.252099436869678,-2.2079005631303232
2.0,9.713532447814941,3.6889519691467285,11.06400202509788,13.28,-0.1800000000000015,13.46,20.0,11.244002025097881,-2.2159979749021197
